Australian Bureau of Statistics

"2011 Census - Counting Employed Persons, Place of Work"
"LFHRP Labour Force Status and Hours Worked Not Stated, OCCP Occupation, INCP Total Personal Income (weekly) and AGE10P  Age in Ten Year Groups"
"Counting: Persons, Place of Work"

Filters:
"Default Summation","Persons, Place of Work"


"LFHRP Labour Force Status and Hours Worked Not Stated","OCCP Occupation","INCP Total Personal Income (weekly)","AGE10P  Age in Ten Year Groups",
,,,"40-49 years",613,
,,,"50-59 years",555,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",202,
,,,"30-39 years",554,
,,,"40-49 years",807,
,,,"50-59 years",642,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",98,
,,,"30-39 years",468,
,,,"40-49 years",659,
,,,"50-59 years",488,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",80,
,,,"30-39 years",510,
,,,"40-49 years",841,
,,,"50-59 years",773,
,,"$2,000 or more ($104,000 or more)","20-29 years",57,
,,,"30-39 years",638,
,,,"40-49 years",1411,
,,,"50-59 years",1338,
,"Manufacturers","$400-$599 ($20,800-$31,199)","20-29 years",152,
,,,"30-39 years",212,
,,,"40-49 years",414,
,,,"50-59 years",441,
,,"$600-$799 ($31,200-$41,599)","20-29 years",468,
,,,"30-39 years",557,
,,,"40-49 years",760,
,,,"50-59 years",643,
,,"$800-$999 ($41,600-$51,999)","20-29 years",280,
,,,"30-39 years",534,
,,,"40-49 years",747,
,,,"50-59 years",690,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",213,
,,,"30-39 years",530,
,,,"40-49 years",767,
,,,"50-59 years",671,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",120,
,,,"30-39 years",427,
,,,"40-49 years",668,
,,,"50-59 years",520,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",76,
,,,"30-39 years",474,
,,,"40-49 years",788,
,,,"50-59 years",679,
,,"$2,000 or more ($104,000 or more)","20-29 years",42,
,,,"30-39 years",376,
,,,"40-49 years",860,
,,,"50-59 years",762,
,"Production Managers","$400-$599 ($20,800-$31,199)","20-29 years",80,
,,,"30-39 years",96,
,,,"40-49 years",177,
,,,"50-59 years",178,
,,"$600-$799 ($31,200-$41,599)","20-29 years",421,
,,,"30-39 years",573,
,,,"40-49 years",585,
,,,"50-59 years",507,
,,"$800-$999 ($41,600-$51,999)","20-29 years",691,
,,,"30-39 years",1126,
,,,"40-49 years",1211,
,,,"50-59 years",935,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",757,
,,,"30-39 years",1809,
,,,"40-49 years",2165,
,,,"50-59 years",1456,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",566,
,,,"30-39 years",1846,
,,,"40-49 years",2174,
,,,"50-59 years",1405,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",529,
,,,"30-39 years",2492,
,,,"40-49 years",3248,
,,,"50-59 years",2261,
,,"$2,000 or more ($104,000 or more)","20-29 years",377,
,,,"30-39 years",3262,
,,,"40-49 years",5219,
,,,"50-59 years",3563,
,"Supply and Distribution Managers","$400-$599 ($20,800-$31,199)","20-29 years",36,
,,,"30-39 years",38,
,,,"40-49 years",79,
,,,"50-59 years",69,
,,"$600-$799 ($31,200-$41,599)","20-29 years",192,
,,,"30-39 years",205,
,,,"40-49 years",233,
,,,"50-59 years",193,
,,"$800-$999 ($41,600-$51,999)","20-29 years",366,
,,,"30-39 years",492,
,,,"40-49 years",493,
,,,"50-59 years",377,
,,"$1,000-$1,249 ($52,000-$64,999)","20-29 years",460,
,,,"30-39 years",977,
,,,"40-49 years",1020,
,,,"50-59 years",811,
,,"$1,250-$1,499 ($65,000-$77,999)","20-29 years",386,
,,,"30-39 years",1119,
,,,"40-49 years",1200,
,,,"50-59 years",880,
,,"$1,500-$1,999 ($78,000-$103,999)","20-29 years",400,
,,,"30-39 years",1652,
,,,"40-49 years",2076,
,,,"50-59 years",1526,
,,"$2,000 or more ($104,000 or more)","20-29 years",207,
,,,"30-39 years",2143,
,,,"40-49 years",3194,
,,,"50-59 years",2354,
,"Education, Health and Welfare Services Managers nfd","$400-$599 ($20,800-$31,199)","20-29 years",0,
,,,"30-39 years",0,
,,,"40-49 years",0,
,,,"50-59 years",3,
,,"$600-$799 ($31,200-$41,599)","20-29 years",3,
,,,"30-39 years",0,
,,,"40-49 years",7,
,,,"50-59 years",3,
