Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"LFHRP Labour Force Status and Hours Worked Not Stated, OCCP - 4 Digit Level, AGE10P - Age in Ten Year Groups and INCP Total Personal Income (weekly)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"


"LFHRP Labour Force Status and Hours Worked Not Stated","OCCP - 4 Digit Level","AGE10P - Age in Ten Year Groups","INCP Total Personal Income (weekly)",
,,,"$1,750-$1,999 ($91,000-$103,999)",3193,
,,,"$2,000-$2,999 ($104,000-$155,999)",8768,
,,,"$3,000 or more ($156,000 or more)",8843,
,,"30-39 years","$400-$499 ($20,800-$25,999)",64,
,,,"$500-$649 ($26,000-$33,799)",185,
,,,"$650-$799 ($33,800-$41,599)",455,
,,,"$800-$999 ($41,600-$51,999)",1125,
,,,"$1,000-$1,249 ($52,000-$64,999)",2620,
,,,"$1,250-$1,499 ($65,000-$77,999)",3481,
,,,"$1,500-$1,749 ($78,000-$90,999)",4144,
,,,"$1,750-$1,999 ($91,000-$103,999)",3754,
,,,"$2,000-$2,999 ($104,000-$155,999)",8624,
,,,"$3,000 or more ($156,000 or more)",5121,
,,"20-29 years","$400-$499 ($20,800-$25,999)",55,
,,,"$500-$649 ($26,000-$33,799)",148,
,,,"$650-$799 ($33,800-$41,599)",633,
,,,"$800-$999 ($41,600-$51,999)",1582,
,,,"$1,000-$1,249 ($52,000-$64,999)",2567,
,,,"$1,250-$1,499 ($65,000-$77,999)",2272,
,,,"$1,500-$1,749 ($78,000-$90,999)",1750,
,,,"$1,750-$1,999 ($91,000-$103,999)",988,
,,,"$2,000-$2,999 ($104,000-$155,999)",1197,
,,,"$3,000 or more ($156,000 or more)",261,
,"Business Administration Managers, nfd","50-59 years","$400-$499 ($20,800-$25,999)",7,
,,,"$500-$649 ($26,000-$33,799)",9,
,,,"$650-$799 ($33,800-$41,599)",26,
,,,"$800-$999 ($41,600-$51,999)",43,
,,,"$1,000-$1,249 ($52,000-$64,999)",98,
,,,"$1,250-$1,499 ($65,000-$77,999)",123,
,,,"$1,500-$1,749 ($78,000-$90,999)",149,
,,,"$1,750-$1,999 ($91,000-$103,999)",136,
,,,"$2,000-$2,999 ($104,000-$155,999)",383,
,,,"$3,000 or more ($156,000 or more)",308,
,,"40-49 years","$400-$499 ($20,800-$25,999)",5,
,,,"$500-$649 ($26,000-$33,799)",17,
,,,"$650-$799 ($33,800-$41,599)",19,
,,,"$800-$999 ($41,600-$51,999)",46,
,,,"$1,000-$1,249 ($52,000-$64,999)",100,
,,,"$1,250-$1,499 ($65,000-$77,999)",111,
,,,"$1,500-$1,749 ($78,000-$90,999)",187,
,,,"$1,750-$1,999 ($91,000-$103,999)",190,
,,,"$2,000-$2,999 ($104,000-$155,999)",534,
,,,"$3,000 or more ($156,000 or more)",436,
,,"30-39 years","$400-$499 ($20,800-$25,999)",3,
,,,"$500-$649 ($26,000-$33,799)",11,
,,,"$650-$799 ($33,800-$41,599)",18,
,,,"$800-$999 ($41,600-$51,999)",38,
,,,"$1,000-$1,249 ($52,000-$64,999)",104,
,,,"$1,250-$1,499 ($65,000-$77,999)",122,
,,,"$1,500-$1,749 ($78,000-$90,999)",136,
,,,"$1,750-$1,999 ($91,000-$103,999)",155,
,,,"$2,000-$2,999 ($104,000-$155,999)",352,
,,,"$3,000 or more ($156,000 or more)",200,
,,"20-29 years","$400-$499 ($20,800-$25,999)",6,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",12,
,,,"$800-$999 ($41,600-$51,999)",41,
,,,"$1,000-$1,249 ($52,000-$64,999)",50,
,,,"$1,250-$1,499 ($65,000-$77,999)",67,
,,,"$1,500-$1,749 ($78,000-$90,999)",58,
,,,"$1,750-$1,999 ($91,000-$103,999)",27,
,,,"$2,000-$2,999 ($104,000-$155,999)",33,
,,,"$3,000 or more ($156,000 or more)",12,
,"Corporate Services Managers","50-59 years","$400-$499 ($20,800-$25,999)",5,
,,,"$500-$649 ($26,000-$33,799)",13,
,,,"$650-$799 ($33,800-$41,599)",20,
,,,"$800-$999 ($41,600-$51,999)",62,
,,,"$1,000-$1,249 ($52,000-$64,999)",238,
,,,"$1,250-$1,499 ($65,000-$77,999)",268,
,,,"$1,500-$1,749 ($78,000-$90,999)",240,
,,,"$1,750-$1,999 ($91,000-$103,999)",189,
,,,"$2,000-$2,999 ($104,000-$155,999)",569,
,,,"$3,000 or more ($156,000 or more)",375,
,,"40-49 years","$400-$499 ($20,800-$25,999)",6,
,,,"$500-$649 ($26,000-$33,799)",9,
,,,"$650-$799 ($33,800-$41,599)",20,
,,,"$800-$999 ($41,600-$51,999)",85,
,,,"$1,000-$1,249 ($52,000-$64,999)",190,
,,,"$1,250-$1,499 ($65,000-$77,999)",199,
,,,"$1,500-$1,749 ($78,000-$90,999)",220,
,,,"$1,750-$1,999 ($91,000-$103,999)",198,
,,,"$2,000-$2,999 ($104,000-$155,999)",585,
,,,"$3,000 or more ($156,000 or more)",417,
,,"30-39 years","$400-$499 ($20,800-$25,999)",3,
,,,"$500-$649 ($26,000-$33,799)",3,
,,,"$650-$799 ($33,800-$41,599)",17,
,,,"$800-$999 ($41,600-$51,999)",37,
,,,"$1,000-$1,249 ($52,000-$64,999)",106,
,,,"$1,250-$1,499 ($65,000-$77,999)",137,
,,,"$1,500-$1,749 ($78,000-$90,999)",140,
,,,"$1,750-$1,999 ($91,000-$103,999)",157,
,,,"$2,000-$2,999 ($104,000-$155,999)",399,
,,,"$3,000 or more ($156,000 or more)",140,
,,"20-29 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",16,
,,,"$800-$999 ($41,600-$51,999)",33,
,,,"$1,000-$1,249 ($52,000-$64,999)",67,
,,,"$1,250-$1,499 ($65,000-$77,999)",52,
,,,"$1,500-$1,749 ($78,000-$90,999)",44,
,,,"$1,750-$1,999 ($91,000-$103,999)",30,
,,,"$2,000-$2,999 ($104,000-$155,999)",34,
,,,"$3,000 or more ($156,000 or more)",6,
,"Finance Managers","50-59 years","$400-$499 ($20,800-$25,999)",14,
,,,"$500-$649 ($26,000-$33,799)",42,
,,,"$650-$799 ($33,800-$41,599)",75,
,,,"$800-$999 ($41,600-$51,999)",150,
,,,"$1,000-$1,249 ($52,000-$64,999)",421,
,,,"$1,250-$1,499 ($65,000-$77,999)",606,
,,,"$1,500-$1,749 ($78,000-$90,999)",957,
,,,"$1,750-$1,999 ($91,000-$103,999)",846,
,,,"$2,000-$2,999 ($104,000-$155,999)",2833,
,,,"$3,000 or more ($156,000 or more)",3482,
,,"40-49 years","$400-$499 ($20,800-$25,999)",15,
,,,"$500-$649 ($26,000-$33,799)",29,
,,,"$650-$799 ($33,800-$41,599)",73,
,,,"$800-$999 ($41,600-$51,999)",187,
,,,"$1,000-$1,249 ($52,000-$64,999)",440,
,,,"$1,250-$1,499 ($65,000-$77,999)",740,
,,,"$1,500-$1,749 ($78,000-$90,999)",1082,
,,,"$1,750-$1,999 ($91,000-$103,999)",1185,
,,,"$2,000-$2,999 ($104,000-$155,999)",4193,
,,,"$3,000 or more ($156,000 or more)",6255,
,,"30-39 years","$400-$499 ($20,800-$25,999)",14,
,,,"$500-$649 ($26,000-$33,799)",10,
,,,"$650-$799 ($33,800-$41,599)",56,
,,,"$800-$999 ($41,600-$51,999)",172,
,,,"$1,000-$1,249 ($52,000-$64,999)",437,
,,,"$1,250-$1,499 ($65,000-$77,999)",686,
,,,"$1,500-$1,749 ($78,000-$90,999)",976,
,,,"$1,750-$1,999 ($91,000-$103,999)",1040,
,,,"$2,000-$2,999 ($104,000-$155,999)",3854,
,,,"$3,000 or more ($156,000 or more)",3354,
,,"20-29 years","$400-$499 ($20,800-$25,999)",7,
,,,"$500-$649 ($26,000-$33,799)",12,
,,,"$650-$799 ($33,800-$41,599)",63,
,,,"$800-$999 ($41,600-$51,999)",141,
,,,"$1,000-$1,249 ($52,000-$64,999)",288,
,,,"$1,250-$1,499 ($65,000-$77,999)",278,
,,,"$1,500-$1,749 ($78,000-$90,999)",312,
,,,"$1,750-$1,999 ($91,000-$103,999)",215,
,,,"$2,000-$2,999 ($104,000-$155,999)",494,
,,,"$3,000 or more ($156,000 or more)",129,
,"Human Resource Managers","50-59 years","$400-$499 ($20,800-$25,999)",17,
,,,"$500-$649 ($26,000-$33,799)",48,
,,,"$650-$799 ($33,800-$41,599)",79,
,,,"$800-$999 ($41,600-$51,999)",181,
,,,"$1,000-$1,249 ($52,000-$64,999)",461,
,,,"$1,250-$1,499 ($65,000-$77,999)",656,
,,,"$1,500-$1,749 ($78,000-$90,999)",1057,
,,,"$1,750-$1,999 ($91,000-$103,999)",1115,
,,,"$2,000-$2,999 ($104,000-$155,999)",3095,
,,,"$3,000 or more ($156,000 or more)",2410,
,,"40-49 years","$400-$499 ($20,800-$25,999)",16,
,,,"$500-$649 ($26,000-$33,799)",37,
,,,"$650-$799 ($33,800-$41,599)",92,
,,,"$800-$999 ($41,600-$51,999)",244,
,,,"$1,000-$1,249 ($52,000-$64,999)",543,
,,,"$1,250-$1,499 ($65,000-$77,999)",805,
,,,"$1,500-$1,749 ($78,000-$90,999)",1431,
,,,"$1,750-$1,999 ($91,000-$103,999)",1387,
,,,"$2,000-$2,999 ($104,000-$155,999)",4419,
,,,"$3,000 or more ($156,000 or more)",3796,
,,"30-39 years","$400-$499 ($20,800-$25,999)",14,
,,,"$500-$649 ($26,000-$33,799)",33,
,,,"$650-$799 ($33,800-$41,599)",96,
,,,"$800-$999 ($41,600-$51,999)",272,
,,,"$1,000-$1,249 ($52,000-$64,999)",650,
,,,"$1,250-$1,499 ($65,000-$77,999)",863,
,,,"$1,500-$1,749 ($78,000-$90,999)",1246,
,,,"$1,750-$1,999 ($91,000-$103,999)",1271,
,,,"$2,000-$2,999 ($104,000-$155,999)",3498,
,,,"$3,000 or more ($156,000 or more)",1942,
,,"20-29 years","$400-$499 ($20,800-$25,999)",18,
,,,"$500-$649 ($26,000-$33,799)",44,
,,,"$650-$799 ($33,800-$41,599)",115,
,,,"$800-$999 ($41,600-$51,999)",446,
,,,"$1,000-$1,249 ($52,000-$64,999)",702,
,,,"$1,250-$1,499 ($65,000-$77,999)",543,
,,,"$1,500-$1,749 ($78,000-$90,999)",433,
,,,"$1,750-$1,999 ($91,000-$103,999)",246,
,,,"$2,000-$2,999 ($104,000-$155,999)",420,
,,,"$3,000 or more ($156,000 or more)",88,
,"Policy and Planning Managers","50-59 years","$400-$499 ($20,800-$25,999)",4,
,,,"$500-$649 ($26,000-$33,799)",6,
,,,"$650-$799 ($33,800-$41,599)",6,
,,,"$800-$999 ($41,600-$51,999)",24,
,,,"$1,000-$1,249 ($52,000-$64,999)",59,
,,,"$1,250-$1,499 ($65,000-$77,999)",142,
,,,"$1,500-$1,749 ($78,000-$90,999)",315,
,,,"$1,750-$1,999 ($91,000-$103,999)",487,
,,,"$2,000-$2,999 ($104,000-$155,999)",2205,
,,,"$3,000 or more ($156,000 or more)",1164,
,,"40-49 years","$400-$499 ($20,800-$25,999)",8,
,,,"$500-$649 ($26,000-$33,799)",5,
,,,"$650-$799 ($33,800-$41,599)",7,
,,,"$800-$999 ($41,600-$51,999)",26,
,,,"$1,000-$1,249 ($52,000-$64,999)",97,
,,,"$1,250-$1,499 ($65,000-$77,999)",176,
,,,"$1,500-$1,749 ($78,000-$90,999)",408,
,,,"$1,750-$1,999 ($91,000-$103,999)",624,
,,,"$2,000-$2,999 ($104,000-$155,999)",2837,
,,,"$3,000 or more ($156,000 or more)",1714,
,,"30-39 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",3,
,,,"$650-$799 ($33,800-$41,599)",6,
,,,"$800-$999 ($41,600-$51,999)",39,
,,,"$1,000-$1,249 ($52,000-$64,999)",101,
,,,"$1,250-$1,499 ($65,000-$77,999)",201,
,,,"$1,500-$1,749 ($78,000-$90,999)",488,
,,,"$1,750-$1,999 ($91,000-$103,999)",763,
,,,"$2,000-$2,999 ($104,000-$155,999)",2208,
,,,"$3,000 or more ($156,000 or more)",868,
,,"20-29 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",6,
,,,"$650-$799 ($33,800-$41,599)",12,
,,,"$800-$999 ($41,600-$51,999)",52,
,,,"$1,000-$1,249 ($52,000-$64,999)",98,
,,,"$1,250-$1,499 ($65,000-$77,999)",119,
,,,"$1,500-$1,749 ($78,000-$90,999)",196,
,,,"$1,750-$1,999 ($91,000-$103,999)",219,
,,,"$2,000-$2,999 ($104,000-$155,999)",243,
,,,"$3,000 or more ($156,000 or more)",37,
,"Research and Development Managers","50-59 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",4,
,,,"$800-$999 ($41,600-$51,999)",19,
,,,"$1,000-$1,249 ($52,000-$64,999)",33,
,,,"$1,250-$1,499 ($65,000-$77,999)",98,
,,,"$1,500-$1,749 ($78,000-$90,999)",173,
,,,"$1,750-$1,999 ($91,000-$103,999)",232,
,,,"$2,000-$2,999 ($104,000-$155,999)",833,
,,,"$3,000 or more ($156,000 or more)",757,
,,"40-49 years","$400-$499 ($20,800-$25,999)",3,
,,,"$500-$649 ($26,000-$33,799)",7,
,,,"$650-$799 ($33,800-$41,599)",11,
,,,"$800-$999 ($41,600-$51,999)",27,
,,,"$1,000-$1,249 ($52,000-$64,999)",80,
,,,"$1,250-$1,499 ($65,000-$77,999)",137,
,,,"$1,500-$1,749 ($78,000-$90,999)",276,
,,,"$1,750-$1,999 ($91,000-$103,999)",352,
,,,"$2,000-$2,999 ($104,000-$155,999)",1154,
,,,"$3,000 or more ($156,000 or more)",960,
,,"30-39 years","$400-$499 ($20,800-$25,999)",3,
,,,"$500-$649 ($26,000-$33,799)",4,
,,,"$650-$799 ($33,800-$41,599)",16,
,,,"$800-$999 ($41,600-$51,999)",26,
,,,"$1,000-$1,249 ($52,000-$64,999)",92,
,,,"$1,250-$1,499 ($65,000-$77,999)",198,
,,,"$1,500-$1,749 ($78,000-$90,999)",333,
,,,"$1,750-$1,999 ($91,000-$103,999)",365,
,,,"$2,000-$2,999 ($104,000-$155,999)",970,
,,,"$3,000 or more ($156,000 or more)",455,
,,"20-29 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",9,
,,,"$650-$799 ($33,800-$41,599)",16,
,,,"$800-$999 ($41,600-$51,999)",53,
,,,"$1,000-$1,249 ($52,000-$64,999)",121,
,,,"$1,250-$1,499 ($65,000-$77,999)",132,
,,,"$1,500-$1,749 ($78,000-$90,999)",147,
,,,"$1,750-$1,999 ($91,000-$103,999)",80,
,,,"$2,000-$2,999 ($104,000-$155,999)",86,
,,,"$3,000 or more ($156,000 or more)",28,
,"Construction, Distribution and Production Managers, nfd","50-59 years","$400-$499 ($20,800-$25,999)",6,
,,,"$500-$649 ($26,000-$33,799)",9,
,,,"$650-$799 ($33,800-$41,599)",13,
,,,"$800-$999 ($41,600-$51,999)",29,
,,,"$1,000-$1,249 ($52,000-$64,999)",62,
,,,"$1,250-$1,499 ($65,000-$77,999)",57,
,,,"$1,500-$1,749 ($78,000-$90,999)",89,
,,,"$1,750-$1,999 ($91,000-$103,999)",70,
,,,"$2,000-$2,999 ($104,000-$155,999)",160,
,,,"$3,000 or more ($156,000 or more)",152,
,,"40-49 years","$400-$499 ($20,800-$25,999)",4,
,,,"$500-$649 ($26,000-$33,799)",6,
,,,"$650-$799 ($33,800-$41,599)",19,
,,,"$800-$999 ($41,600-$51,999)",30,
,,,"$1,000-$1,249 ($52,000-$64,999)",60,
,,,"$1,250-$1,499 ($65,000-$77,999)",63,
,,,"$1,500-$1,749 ($78,000-$90,999)",75,
,,,"$1,750-$1,999 ($91,000-$103,999)",56,
,,,"$2,000-$2,999 ($104,000-$155,999)",159,
,,,"$3,000 or more ($156,000 or more)",189,
,,"30-39 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",6,
,,,"$650-$799 ($33,800-$41,599)",13,
,,,"$800-$999 ($41,600-$51,999)",21,
,,,"$1,000-$1,249 ($52,000-$64,999)",42,
,,,"$1,250-$1,499 ($65,000-$77,999)",64,
,,,"$1,500-$1,749 ($78,000-$90,999)",64,
,,,"$1,750-$1,999 ($91,000-$103,999)",47,
,,,"$2,000-$2,999 ($104,000-$155,999)",130,
,,,"$3,000 or more ($156,000 or more)",94,
,,"20-29 years","$400-$499 ($20,800-$25,999)",3,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",4,
,,,"$800-$999 ($41,600-$51,999)",22,
,,,"$1,000-$1,249 ($52,000-$64,999)",19,
,,,"$1,250-$1,499 ($65,000-$77,999)",14,
,,,"$1,500-$1,749 ($78,000-$90,999)",12,
,,,"$1,750-$1,999 ($91,000-$103,999)",6,
,,,"$2,000-$2,999 ($104,000-$155,999)",16,
,,,"$3,000 or more ($156,000 or more)",3,
,"Construction Managers","50-59 years","$400-$499 ($20,800-$25,999)",213,
,,,"$500-$649 ($26,000-$33,799)",475,
,,,"$650-$799 ($33,800-$41,599)",794,
,,,"$800-$999 ($41,600-$51,999)",1294,
,,,"$1,000-$1,249 ($52,000-$64,999)",2023,
,,,"$1,250-$1,499 ($65,000-$77,999)",1872,
,,,"$1,500-$1,749 ($78,000-$90,999)",2300,
,,,"$1,750-$1,999 ($91,000-$103,999)",1650,
,,,"$2,000-$2,999 ($104,000-$155,999)",3358,
,,,"$3,000 or more ($156,000 or more)",2987,
,,"40-49 years","$400-$499 ($20,800-$25,999)",173,
,,,"$500-$649 ($26,000-$33,799)",398,
,,,"$650-$799 ($33,800-$41,599)",764,
,,,"$800-$999 ($41,600-$51,999)",1373,
,,,"$1,000-$1,249 ($52,000-$64,999)",2326,
,,,"$1,250-$1,499 ($65,000-$77,999)",2371,
,,,"$1,500-$1,749 ($78,000-$90,999)",2993,
,,,"$1,750-$1,999 ($91,000-$103,999)",2280,
,,,"$2,000-$2,999 ($104,000-$155,999)",4832,
,,,"$3,000 or more ($156,000 or more)",4381,
,,"30-39 years","$400-$499 ($20,800-$25,999)",101,
,,,"$500-$649 ($26,000-$33,799)",268,
,,,"$650-$799 ($33,800-$41,599)",628,
,,,"$800-$999 ($41,600-$51,999)",1239,
,,,"$1,000-$1,249 ($52,000-$64,999)",2251,
,,,"$1,250-$1,499 ($65,000-$77,999)",2385,
,,,"$1,500-$1,749 ($78,000-$90,999)",3021,
,,,"$1,750-$1,999 ($91,000-$103,999)",2266,
,,,"$2,000-$2,999 ($104,000-$155,999)",4839,
,,,"$3,000 or more ($156,000 or more)",3078,
,,"20-29 years","$400-$499 ($20,800-$25,999)",167,
,,,"$500-$649 ($26,000-$33,799)",399,
,,,"$650-$799 ($33,800-$41,599)",879,
,,,"$800-$999 ($41,600-$51,999)",1489,
,,,"$1,000-$1,249 ($52,000-$64,999)",1893,
,,,"$1,250-$1,499 ($65,000-$77,999)",1453,
,,,"$1,500-$1,749 ($78,000-$90,999)",1281,
,,,"$1,750-$1,999 ($91,000-$103,999)",801,
,,,"$2,000-$2,999 ($104,000-$155,999)",1172,
,,,"$3,000 or more ($156,000 or more)",302,
,"Engineering Managers","50-59 years","$400-$499 ($20,800-$25,999)",5,
,,,"$500-$649 ($26,000-$33,799)",13,
,,,"$650-$799 ($33,800-$41,599)",20,
,,,"$800-$999 ($41,600-$51,999)",42,
,,,"$1,000-$1,249 ($52,000-$64,999)",86,
,,,"$1,250-$1,499 ($65,000-$77,999)",120,
,,,"$1,500-$1,749 ($78,000-$90,999)",232,
,,,"$1,750-$1,999 ($91,000-$103,999)",267,
,,,"$2,000-$2,999 ($104,000-$155,999)",1191,
,,,"$3,000 or more ($156,000 or more)",1750,
,,"40-49 years","$400-$499 ($20,800-$25,999)",3,
,,,"$500-$649 ($26,000-$33,799)",9,
,,,"$650-$799 ($33,800-$41,599)",21,
,,,"$800-$999 ($41,600-$51,999)",29,
,,,"$1,000-$1,249 ($52,000-$64,999)",104,
,,,"$1,250-$1,499 ($65,000-$77,999)",126,
,,,"$1,500-$1,749 ($78,000-$90,999)",246,
,,,"$1,750-$1,999 ($91,000-$103,999)",328,
,,,"$2,000-$2,999 ($104,000-$155,999)",1531,
,,,"$3,000 or more ($156,000 or more)",2180,
,,"30-39 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",7,
,,,"$650-$799 ($33,800-$41,599)",22,
,,,"$800-$999 ($41,600-$51,999)",41,
,,,"$1,000-$1,249 ($52,000-$64,999)",116,
,,,"$1,250-$1,499 ($65,000-$77,999)",182,
,,,"$1,500-$1,749 ($78,000-$90,999)",295,
,,,"$1,750-$1,999 ($91,000-$103,999)",368,
,,,"$2,000-$2,999 ($104,000-$155,999)",1389,
,,,"$3,000 or more ($156,000 or more)",1174,
,,"20-29 years","$400-$499 ($20,800-$25,999)",3,
,,,"$500-$649 ($26,000-$33,799)",3,
,,,"$650-$799 ($33,800-$41,599)",9,
,,,"$800-$999 ($41,600-$51,999)",52,
,,,"$1,000-$1,249 ($52,000-$64,999)",111,
,,,"$1,250-$1,499 ($65,000-$77,999)",148,
,,,"$1,500-$1,749 ($78,000-$90,999)",128,
,,,"$1,750-$1,999 ($91,000-$103,999)",103,
,,,"$2,000-$2,999 ($104,000-$155,999)",160,
,,,"$3,000 or more ($156,000 or more)",43,
,"Importers, Exporters and Wholesalers","50-59 years","$400-$499 ($20,800-$25,999)",86,
,,,"$500-$649 ($26,000-$33,799)",147,
,,,"$650-$799 ($33,800-$41,599)",233,
,,,"$800-$999 ($41,600-$51,999)",305,
,,,"$1,000-$1,249 ($52,000-$64,999)",457,
,,,"$1,250-$1,499 ($65,000-$77,999)",364,
,,,"$1,500-$1,749 ($78,000-$90,999)",448,
,,,"$1,750-$1,999 ($91,000-$103,999)",271,
,,,"$2,000-$2,999 ($104,000-$155,999)",460,
,,,"$3,000 or more ($156,000 or more)",447,
,,"40-49 years","$400-$499 ($20,800-$25,999)",81,
,,,"$500-$649 ($26,000-$33,799)",118,
,,,"$650-$799 ($33,800-$41,599)",187,
,,,"$800-$999 ($41,600-$51,999)",379,
,,,"$1,000-$1,249 ($52,000-$64,999)",518,
,,,"$1,250-$1,499 ($65,000-$77,999)",493,
,,,"$1,500-$1,749 ($78,000-$90,999)",466,
,,,"$1,750-$1,999 ($91,000-$103,999)",288,
,,,"$2,000-$2,999 ($104,000-$155,999)",492,
,,,"$3,000 or more ($156,000 or more)",453,
,,"30-39 years","$400-$499 ($20,800-$25,999)",39,
,,,"$500-$649 ($26,000-$33,799)",87,
,,,"$650-$799 ($33,800-$41,599)",145,
,,,"$800-$999 ($41,600-$51,999)",318,
,,,"$1,000-$1,249 ($52,000-$64,999)",509,
,,,"$1,250-$1,499 ($65,000-$77,999)",396,
,,,"$1,500-$1,749 ($78,000-$90,999)",334,
,,,"$1,750-$1,999 ($91,000-$103,999)",169,
,,,"$2,000-$2,999 ($104,000-$155,999)",285,
,,,"$3,000 or more ($156,000 or more)",131,
,,"20-29 years","$400-$499 ($20,800-$25,999)",8,
,,,"$500-$649 ($26,000-$33,799)",36,
,,,"$650-$799 ($33,800-$41,599)",125,
,,,"$800-$999 ($41,600-$51,999)",221,
,,,"$1,000-$1,249 ($52,000-$64,999)",272,
,,,"$1,250-$1,499 ($65,000-$77,999)",133,
,,,"$1,500-$1,749 ($78,000-$90,999)",65,
,,,"$1,750-$1,999 ($91,000-$103,999)",34,
,,,"$2,000-$2,999 ($104,000-$155,999)",35,
,,,"$3,000 or more ($156,000 or more)",22,
,"Manufacturers","50-59 years","$400-$499 ($20,800-$25,999)",118,
,,,"$500-$649 ($26,000-$33,799)",165,
,,,"$650-$799 ($33,800-$41,599)",272,
,,,"$800-$999 ($41,600-$51,999)",412,
,,,"$1,000-$1,249 ($52,000-$64,999)",418,
,,,"$1,250-$1,499 ($65,000-$77,999)",304,
,,,"$1,500-$1,749 ($78,000-$90,999)",246,
,,,"$1,750-$1,999 ($91,000-$103,999)",156,
,,,"$2,000-$2,999 ($104,000-$155,999)",207,
,,,"$3,000 or more ($156,000 or more)",192,
,,"40-49 years","$400-$499 ($20,800-$25,999)",91,
,,,"$500-$649 ($26,000-$33,799)",144,
,,,"$650-$799 ($33,800-$41,599)",306,
,,,"$800-$999 ($41,600-$51,999)",411,
,,,"$1,000-$1,249 ($52,000-$64,999)",454,
,,,"$1,250-$1,499 ($65,000-$77,999)",281,
,,,"$1,500-$1,749 ($78,000-$90,999)",285,
,,,"$1,750-$1,999 ($91,000-$103,999)",159,
,,,"$2,000-$2,999 ($104,000-$155,999)",232,
,,,"$3,000 or more ($156,000 or more)",198,
,,"30-39 years","$400-$499 ($20,800-$25,999)",40,
,,,"$500-$649 ($26,000-$33,799)",87,
,,,"$650-$799 ($33,800-$41,599)",224,
,,,"$800-$999 ($41,600-$51,999)",380,
,,,"$1,000-$1,249 ($52,000-$64,999)",320,
,,,"$1,250-$1,499 ($65,000-$77,999)",183,
,,,"$1,500-$1,749 ($78,000-$90,999)",158,
,,,"$1,750-$1,999 ($91,000-$103,999)",91,
,,,"$2,000-$2,999 ($104,000-$155,999)",119,
,,,"$3,000 or more ($156,000 or more)",56,
,,"20-29 years","$400-$499 ($20,800-$25,999)",14,
,,,"$500-$649 ($26,000-$33,799)",94,
,,,"$650-$799 ($33,800-$41,599)",281,
,,,"$800-$999 ($41,600-$51,999)",259,
,,,"$1,000-$1,249 ($52,000-$64,999)",147,
,,,"$1,250-$1,499 ($65,000-$77,999)",68,
,,,"$1,500-$1,749 ($78,000-$90,999)",26,
,,,"$1,750-$1,999 ($91,000-$103,999)",15,
,,,"$2,000-$2,999 ($104,000-$155,999)",10,
,,,"$3,000 or more ($156,000 or more)",5,
,"Production Managers","50-59 years","$400-$499 ($20,800-$25,999)",46,
,,,"$500-$649 ($26,000-$33,799)",124,
,,,"$650-$799 ($33,800-$41,599)",323,
,,,"$800-$999 ($41,600-$51,999)",796,
,,,"$1,000-$1,249 ($52,000-$64,999)",1476,
,,,"$1,250-$1,499 ($65,000-$77,999)",1472,
,,,"$1,500-$1,749 ($78,000-$90,999)",1608,
,,,"$1,750-$1,999 ($91,000-$103,999)",1256,
,,,"$2,000-$2,999 ($104,000-$155,999)",2416,
,,,"$3,000 or more ($156,000 or more)",2086,
,,"40-49 years","$400-$499 ($20,800-$25,999)",46,
,,,"$500-$649 ($26,000-$33,799)",77,
,,,"$650-$799 ($33,800-$41,599)",335,
,,,"$800-$999 ($41,600-$51,999)",895,
,,,"$1,000-$1,249 ($52,000-$64,999)",1635,
,,,"$1,250-$1,499 ($65,000-$77,999)",1813,
,,,"$1,500-$1,749 ($78,000-$90,999)",1895,
,,,"$1,750-$1,999 ($91,000-$103,999)",1567,
,,,"$2,000-$2,999 ($104,000-$155,999)",3088,
,,,"$3,000 or more ($156,000 or more)",2652,
,,"30-39 years","$400-$499 ($20,800-$25,999)",25,
,,,"$500-$649 ($26,000-$33,799)",71,
,,,"$650-$799 ($33,800-$41,599)",264,
,,,"$800-$999 ($41,600-$51,999)",893,
,,,"$1,000-$1,249 ($52,000-$64,999)",1526,
,,,"$1,250-$1,499 ($65,000-$77,999)",1615,
,,,"$1,500-$1,749 ($78,000-$90,999)",1465,
,,,"$1,750-$1,999 ($91,000-$103,999)",1096,
,,,"$2,000-$2,999 ($104,000-$155,999)",1892,
,,,"$3,000 or more ($156,000 or more)",1391,
,,"20-29 years","$400-$499 ($20,800-$25,999)",9,
