Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"LFHRP Labour Force Status and Hours Worked Not Stated, OCCP - 4 Digit Level, AGE10P - Age in Ten Year Groups and INCP Total Personal Income (weekly)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"


"LFHRP Labour Force Status and Hours Worked Not Stated","OCCP - 4 Digit Level","AGE10P - Age in Ten Year Groups","INCP Total Personal Income (weekly)",
,,,"$1,500-$1,749 ($78,000-$90,999)",52,
,,,"$1,750-$1,999 ($91,000-$103,999)",23,
,,,"$2,000-$2,999 ($104,000-$155,999)",33,
,,,"$3,000 or more ($156,000 or more)",22,
,"Specialist Managers, nfd","50-59 years","$400-$499 ($20,800-$25,999)",38,
,,,"$500-$649 ($26,000-$33,799)",76,
,,,"$650-$799 ($33,800-$41,599)",102,
,,,"$800-$999 ($41,600-$51,999)",185,
,,,"$1,000-$1,249 ($52,000-$64,999)",390,
,,,"$1,250-$1,499 ($65,000-$77,999)",388,
,,,"$1,500-$1,749 ($78,000-$90,999)",548,
,,,"$1,750-$1,999 ($91,000-$103,999)",522,
,,,"$2,000-$2,999 ($104,000-$155,999)",1364,
,,,"$3,000 or more ($156,000 or more)",1220,
,,"40-49 years","$400-$499 ($20,800-$25,999)",47,
,,,"$500-$649 ($26,000-$33,799)",90,
,,,"$650-$799 ($33,800-$41,599)",122,
,,,"$800-$999 ($41,600-$51,999)",251,
,,,"$1,000-$1,249 ($52,000-$64,999)",398,
,,,"$1,250-$1,499 ($65,000-$77,999)",542,
,,,"$1,500-$1,749 ($78,000-$90,999)",761,
,,,"$1,750-$1,999 ($91,000-$103,999)",722,
,,,"$2,000-$2,999 ($104,000-$155,999)",1822,
,,,"$3,000 or more ($156,000 or more)",1851,
,,"30-39 years","$400-$499 ($20,800-$25,999)",24,
,,,"$500-$649 ($26,000-$33,799)",71,
,,,"$650-$799 ($33,800-$41,599)",93,
,,,"$800-$999 ($41,600-$51,999)",249,
,,,"$1,000-$1,249 ($52,000-$64,999)",428,
,,,"$1,250-$1,499 ($65,000-$77,999)",555,
,,,"$1,500-$1,749 ($78,000-$90,999)",730,
,,,"$1,750-$1,999 ($91,000-$103,999)",642,
,,,"$2,000-$2,999 ($104,000-$155,999)",1470,
,,,"$3,000 or more ($156,000 or more)",910,
,,"20-29 years","$400-$499 ($20,800-$25,999)",13,
,,,"$500-$649 ($26,000-$33,799)",22,
,,,"$650-$799 ($33,800-$41,599)",75,
,,,"$800-$999 ($41,600-$51,999)",190,
,,,"$1,000-$1,249 ($52,000-$64,999)",281,
,,,"$1,250-$1,499 ($65,000-$77,999)",238,
,,,"$1,500-$1,749 ($78,000-$90,999)",234,
,,,"$1,750-$1,999 ($91,000-$103,999)",142,
,,,"$2,000-$2,999 ($104,000-$155,999)",177,
,,,"$3,000 or more ($156,000 or more)",55,
,"Advertising, Public Relations and Sales Managers","50-59 years","$400-$499 ($20,800-$25,999)",74,
,,,"$500-$649 ($26,000-$33,799)",170,
,,,"$650-$799 ($33,800-$41,599)",334,
,,,"$800-$999 ($41,600-$51,999)",649,
,,,"$1,000-$1,249 ($52,000-$64,999)",1268,
,,,"$1,250-$1,499 ($65,000-$77,999)",1708,
,,,"$1,500-$1,749 ($78,000-$90,999)",2105,
,,,"$1,750-$1,999 ($91,000-$103,999)",1957,
,,,"$2,000-$2,999 ($104,000-$155,999)",4976,
,,,"$3,000 or more ($156,000 or more)",4531,
,,"40-49 years","$400-$499 ($20,800-$25,999)",72,
,,,"$500-$649 ($26,000-$33,799)",177,
,,,"$650-$799 ($33,800-$41,599)",381,
,,,"$800-$999 ($41,600-$51,999)",914,
,,,"$1,000-$1,249 ($52,000-$64,999)",1923,
,,,"$1,250-$1,499 ($65,000-$77,999)",2555,
,,,"$1,500-$1,749 ($78,000-$90,999)",3609,
